Invoice #;Date;Operation Type (purchase / relocation);Product;Quantity;Cost Price;Total;Supplier;Store
960000;01.01.2017; Purchase; Tablet Type 7, Huawei;27;572;15444; A;12
960001;01.01.2017; Purchase; Speakers Type 5, Dell;13;146;1898; A;12
960002;01.01.2017; Purchase; Laptop Type 6, HP;17;726;12342; A;12
960003;01.01.2017; Purchase; Microphone Type 2, HP;13;80;1040; A;12
960004;01.01.2017; Purchase; Speakers Type 5, HP;24;138;3312; A;12
960005;01.01.2017; Purchase; Mouse Type 6, Dell;18;14;252; A;12
960006;01.01.2017; Purchase; Hard Drive Type 7, Dell;22;34;748; A;12
960007;01.01.2017; Purchase; Speakers Type 2, Samsung;18;139;2502; C;12
960008;01.01.2017; Purchase; Phone Type 5, HP;12;106;1272; C;12
960009;01.01.2017; Purchase; Speakers Type 7, HP;19;131;2489; C;12
960010;01.01.2017; Purchase; Phone Type 10, Samsung;15;118;1770; C;12
960011;01.01.2017; Purchase; Charger Type 2, Huawei;16;6;96; C;12
960012;01.01.2017; Purchase; Monitor Type 2, Dell;23;145;3335; C;12
960013;01.01.2017; Purchase; Headphones Type 5, Huawei;30;32;960; C;12
960014;01.01.2017; Purchase; Phone Type 1, HP;23;124;2852; C;12
960015;01.01.2017; Purchase; Hard Drive Type 8, Dell;17;26;442; C;12
960016;01.01.2017; Purchase; Tablet Type 1, HP;29;570;16530; C;12
960017;01.01.2017; Purchase; Hard Drive Type 5, Samsung;17;26;442; C;12
960018;01.01.2017; Purchase; Speakers Type 1, Huawei;25;133;3325; C;12
960019;01.01.2017; Purchase; Speakers Type 5, Huawei;17;122;2074; C;12
960020;01.01.2017; Purchase; Speakers Type 6, Huawei;10;133;1330; C;12
960021;01.01.2017; Purchase; Mouse Type 1, Samsung;25;11;275; C;12
960022;01.01.2017; Purchase; Laptop Type 6, Samsung;22;775;17050; C;12
960023;01.01.2017; Purchase; Monitor Type 2, Huawei;14;156;2184; C;12
960024;01.01.2017; Purchase; Headphones Type 3, Samsung;28;44;1232; C;12
960025;01.01.2017; Purchase; Desktop Type 3, HP;22;236;5192; C;12
960026;01.01.2017; Purchase; Monitor Type 4, HP;12;161;1932; C;12
960027;01.01.2017; Purchase; Phone Type 11, Huawei;10;119;1190; C;12
960028;01.01.2017; Purchase; Headphones Type 6, Huawei;11;52;572; C;12
960029;01.01.2017; Purchase; Monitor Type 2, Samsung;20;124;2480; B;12
960030;01.01.2017; Purchase; Keyboard Type 4, Samsung;24;81;1944; B;12
960031;01.01.2017; Purchase; Desktop Type 2, Huawei;28;220;6160; B;12
960032;01.01.2017; Purchase; Headphones Type 2, HP;25;28;700; A;12
960033;01.01.2017; Purchase; Phone Type 3, Huawei;24;80;1920; A;12
960034;01.01.2017; Purchase; Smart Watch Type 1, HP;24;128;3072; A;12
960035;01.01.2017; Purchase; Microphone Type 2, Samsung;13;84;1092; A;12
960036;01.01.2017; Purchase; Memory Type 2, Dell;27;18;486; A;12
960037;01.01.2017; Purchase; Speakers Type 3, Samsung;30;151;4530; A;12
960038;01.01.2017; Purchase; Desktop Type 10, HP;11;316;3476; A;12
960039;01.01.2017; Purchase; Speakers Type 1, Dell;13;132;1716; A;12
960040;01.01.2017; Purchase; Hard Drive Type 7, Samsung;26;28;728; A;12
960041;01.01.2017; Purchase; Smart Watch Type 3, HP;11;190;2090; A;12
960042;01.01.2017; Purchase; Mouse Type 7, Samsung;22;14;308; A;12
960043;01.01.2017; Purchase; Hard Drive Type 4, Dell;14;44;616; A;12
960044;01.01.2017; Purchase; Phone Type 2, Dell;28;104;2912; A;12
960045;01.01.2017; Purchase; Desktop Type 8, Dell;27;257;6939; A;12
960046;01.01.2017; Purchase; Phone Type 2, HP;26;162;4212; A;12
960047;01.01.2017; Purchase; Tablet Type 4, Samsung;18;548;9864; A;12
960048;01.01.2017; Purchase; Hard Drive Type 2, HP;28;34;952; A;12
960049;01.01.2017; Purchase; Speakers Type 6, Dell;24;128;3072; A;12
960050;01.01.2017; Purchase; Monitor Type 3, Samsung;22;120;2640; A;12
960051;01.01.2017; Purchase; Charger Type 2, HP;23;17;391; A;12
960052;01.01.2017; Purchase; Desktop Type 4, HP;23;392;9016; A;12
960053;01.01.2017; Purchase; Tablet Type 6, Huawei;18;491;8838; A;12
960054;01.01.2017; Purchase; Tablet Type 2, Huawei;24;396;9504; A;12
960055;01.01.2017; Purchase; Phone Type 5, Dell;26;103;2678; A;12
960056;01.01.2017; Purchase; Monitor Type 1, Samsung;14;116;1624; A;12
960057;01.01.2017; Purchase; Laptop Type 1, Huawei;29;1551;44979; A;12
960058;01.01.2017; Purchase; Speakers Type 3, Dell;21;152;3192; A;12
960059;01.01.2017; Purchase; Desktop Type 6, Dell;30;205;6150; A;12
960060;01.01.2017; Purchase; Mouse Type 4, Huawei;13;10;130; A;12
960061;01.01.2017; Purchase; Microphone Type 1, Samsung;17;66;1122; A;12
960062;01.01.2017; Purchase; Memory Type 3, Huawei;24;13;312; C;12
960063;01.01.2017; Purchase; Mouse Type 4, Dell;23;7;161; C;12
960064;01.01.2017; Purchase; Desktop Type 7, Samsung;28;296;8288; C;12
960065;01.01.2017; Purchase; Phone Type 2, Samsung;16;142;2272; C;12
960066;01.01.2017; Purchase; Mouse Type 6, Huawei;29;11;319; C;12
960067;01.01.2017; Purchase; Keyboard Type 1, HP;11;65;715; C;12
960068;01.01.2017; Purchase; Speakers Type 3, Huawei;19;141;2679; C;12
960069;01.01.2017; Purchase; Monitor Type 3, HP;12;154;1848; C;12
960070;01.01.2017; Purchase; Phone Type 10, Huawei;30;112;3360; C;12
960071;01.01.2017; Purchase; Keyboard Type 2, Samsung;25;82;2050; C;12
960072;01.01.2017; Purchase; Keyboard Type 3, Huawei;24;72;1728; C;12
960073;01.01.2017; Purchase; Memory Type 4, Dell;22;29;638; C;12
960074;01.01.2017; Purchase; Hard Drive Type 1, Samsung;16;36;576; C;12
960075;01.01.2017; Purchase; Headphones Type 3, HP;25;73;1825; C;12
960076;01.01.2017; Purchase; Monitor Type 3, Huawei;13;114;1482; C;12
960077;01.01.2017; Purchase; Mouse Type 2, Huawei;17;7;119; B;12
960078;01.01.2017; Purchase; Tablet Type 3, Huawei;11;453;4983; B;12
960079;01.01.2017; Purchase; Phone Type 7, Huawei;16;147;2352; B;12
960080;01.01.2017; Purchase; Desktop Type 7, HP;10;161;1610; B;12
960081;01.01.2017; Purchase; Laptop Type 3, Huawei;13;1429;18577; B;12
960082;01.01.2017; Purchase; Phone Type 6, Dell;21;135;2835; B;12
960083;01.01.2017; Purchase; Microphone Type 3, Huawei;29;71;2059; B;12
960084;01.01.2017; Purchase; Mouse Type 3, Dell;19;12;228; B;12
960085;01.01.2017; Purchase; Desktop Type 10, Huawei;14;286;4004; B;12
960086;01.01.2017; Purchase; Speakers Type 6, Samsung;10;144;1440; B;12
960087;01.01.2017; Purchase; Laptop Type 4, Huawei;11;847;9317; B;12
960088;01.01.2017; Purchase; Tablet Type 5, Dell;11;384;4224; B;12
960089;01.01.2017; Purchase; Speakers Type 7, Huawei;25;136;3400; B;12
960090;01.01.2017; Purchase; Mouse Type 5, Huawei;10;7;70; B;12
960091;01.01.2017; Purchase; Monitor Type 1, Dell;17;149;2533; B;12
960092;01.01.2017; Purchase; Smart Watch Type 3, Dell;11;119;1309; B;12
960093;01.01.2017; Purchase; Memory Type 2, Samsung;22;43;946; B;12
960094;01.01.2017; Purchase; Phone Type 12, Samsung;24;141;3384; A;12
960095;01.01.2017; Purchase; Memory Type 1, Samsung;26;13;338; A;12
960096;01.01.2017; Purchase; Desktop Type 9, Dell;11;343;3773; A;12
960097;01.01.2017; Purchase; Laptop Type 2, Samsung;13;1125;14625; A;12
960098;01.01.2017; Purchase; Phone Type 4, Huawei;24;106;2544; A;12
960099;01.01.2017; Purchase; Phone Type 11, HP;24;98;2352; A;12
960100;01.01.2017; Purchase; Phone Type 8, Huawei;11;163;1793; A;12
960101;01.01.2017; Purchase; Phone Type 8, HP;14;134;1876; A;12
960102;01.01.2017; Purchase; Speakers Type 4, Huawei;25;145;3625; A;12
960103;01.01.2017; Purchase; Smart Watch Type 3, Huawei;15;142;2130; A;12
960104;01.01.2017; Purchase; Phone Type 2, Huawei;24;120;2880; C;12
960105;01.01.2017; Purchase; Hard Drive Type 8, Samsung;18;39;702; C;12
960106;01.01.2017; Purchase; Hard Drive Type 6, Huawei;25;42;1050; C;12
960107;01.01.2017; Purchase; Speakers Type 4, Dell;29;143;4147; C;12
960108;01.01.2017; Purchase; Phone Type 4, Samsung;21;144;3024; C;12
960109;01.01.2017; Purchase; Desktop Type 1, HP;13;201;2613; C;12
960110;01.01.2017; Purchase; Hard Drive Type 7, HP;11;36;396; C;12
960111;01.01.2017; Purchase; Mouse Type 2, HP;10;8;80; C;12
960112;01.01.2017; Purchase; Desktop Type 3, Samsung;23;349;8027; C;12
960113;01.01.2017; Purchase; Smart Watch Type 2, Dell;26;199;5174; C;12
960114;01.01.2017; Purchase; Monitor Type 1, Huawei;11;127;1397; C;12
960115;01.01.2017; Purchase; Headphones Type 1, Dell;17;65;1105; C;12
960116;01.01.2017; Purchase; Microphone Type 2, Huawei;16;67;1072; C;12
960117;01.01.2017; Purchase; Charger Type 1, HP;24;14;336; C;12
960118;01.01.2017; Purchase; Laptop Type 1, HP;14;1735;24290; C;12
960119;01.01.2017; Purchase; Headphones Type 5, HP;11;59;649; C;12
960120;01.01.2017; Purchase; Hard Drive Type 1, Huawei;29;33;957; C;12
960121;01.01.2017; Purchase; Memory Type 4, Samsung;14;31;434; C;12
960122;01.01.2017; Purchase; Phone Type 9, HP;11;105;1155; C;12
960123;01.01.2017; Purchase; Charger Type 1, Samsung;30;6;180; C;12
960124;01.01.2017; Purchase; Desktop Type 11, Huawei;19;252;4788; C;12
960125;01.01.2017; Purchase; Smart Watch Type 2, HP;18;113;2034; C;12
960126;01.01.2017; Purchase; Tablet Type 7, HP;12;552;6624; C;12
960127;01.01.2017; Purchase; Desktop Type 12, Dell;27;294;7938; C;12
960128;01.01.2017; Purchase; Phone Type 6, Huawei;19;164;3116; C;12
960129;01.01.2017; Purchase; Memory Type 3, Dell;13;7;91; C;12
960130;01.01.2017; Purchase; Monitor Type 4, Samsung;27;120;3240; C;12
960131;01.01.2017; Purchase; Desktop Type 12, Huawei;26;280;7280; C;12
960132;01.01.2017; Purchase; Desktop Type 5, HP;28;264;7392; B;12
960133;01.01.2017; Purchase; Desktop Type 3, Huawei;21;335;7035; B;12
960134;01.01.2017; Purchase; Laptop Type 6, Dell;28;996;27888; B;12
960135;01.01.2017; Purchase; Tablet Type 6, Dell;23;566;13018; B;12
960136;01.01.2017; Purchase; Tablet Type 1, Huawei;19;504;9576; B;12
960137;01.01.2017; Purchase; Memory Type 2, Huawei;30;9;270; B;12
960138;01.01.2017; Purchase; Headphones Type 2, Dell;19;72;1368; B;12
960139;01.01.2017; Purchase; Keyboard Type 3, Dell;22;63;1386; B;12
960140;01.01.2017; Purchase; Headphones Type 4, Dell;30;28;840; B;12
960141;01.01.2017; Purchase; Charger Type 1, Huawei;29;11;319; B;12
960142;01.01.2017; Purchase; Headphones Type 1, HP;12;42;504; B;12
960143;01.01.2017; Purchase; Mouse Type 6, Samsung;13;11;143; B;12
960144;01.01.2017; Purchase; Desktop Type 8, HP;15;193;2895; B;12
960145;01.01.2017; Purchase; Headphones Type 2, Huawei;15;35;525; B;12
960146;01.01.2017; Purchase; Mouse Type 4, HP;14;12;168; B;12
960147;01.01.2017; Purchase; Keyboard Type 2, Huawei;23;83;1909; A;12
960148;01.01.2017; Purchase; Charger Type 2, Dell;26;7;182; A;12
960149;01.01.2017; Purchase; Tablet Type 4, HP;11;615;6765; A;12
960150;01.01.2017; Purchase; Tablet Type 2, Dell;14;419;5866; A;12
960151;01.01.2017; Purchase; Hard Drive Type 8, HP;19;33;627; A;12
960152;01.01.2017; Purchase; Microphone Type 3, Dell;24;33;792; A;12
960153;01.01.2017; Purchase; Desktop Type 7, Huawei;10;192;1920; A;12
960154;01.01.2017; Purchase; Laptop Type 3, HP;24;1319;31656; A;12
960155;01.01.2017; Purchase; Hard Drive Type 2, Dell;14;36;504; A;12
960156;01.01.2017; Purchase; Desktop Type 9, HP;13;371;4823; A;12
960157;01.01.2017; Purchase; Mouse Type 1, Dell;21;9;189; A;12
960158;01.01.2017; Purchase; Desktop Type 11, Samsung;22;164;3608; A;12
960159;01.01.2017; Purchase; Mouse Type 5, Samsung;28;14;392; A;12
960160;01.01.2017; Purchase; Headphones Type 5, Dell;25;53;1325; A;12
960161;01.01.2017; Purchase; Speakers Type 1, Samsung;30;127;3810; A;12
960162;01.01.2017; Purchase; Keyboard Type 4, Dell;23;83;1909; A;12
960163;01.01.2017; Purchase; Tablet Type 3, Dell;20;339;6780; A;12
960164;01.01.2017; Purchase; Phone Type 1, Samsung;18;97;1746; A;12
960165;01.01.2017; Purchase; Speakers Type 4, Samsung;28;147;4116; A;12
960166;01.01.2017; Purchase; Monitor Type 1, HP;23;122;2806; A;12
960167;01.01.2017; Purchase; Mouse Type 3, Samsung;29;14;406; A;12
960168;01.01.2017; Purchase; Tablet Type 7, Huawei;23;572;13156; A;12
960169;01.01.2017; Purchase; Speakers Type 5, Dell;24;146;3504; A;12
960170;01.01.2017; Purchase; Laptop Type 6, HP;25;726;18150; A;12
