Invoice #;Date;Operation Type (purchase / relocation);Product;Quantity;Cost Price;Total;Supplier;Store
910000;01.01.2017; Purchase; Phone Type 9, HP;24;137;3288; A;11
910001;01.01.2017; Purchase; Headphones Type 6, HP;21;64;1344; A;11
910002;01.01.2017; Purchase; Hard Drive Type 4, HP;5;96;480; A;11
910003;01.01.2017; Purchase; Smart Watch Type 1, HP;22;65;1430; A;11
910004;01.01.2017; Purchase; Hard Drive Type 4, Dell;22;31;682; A;11
910005;01.01.2017; Purchase; Keyboard Type 3, Dell;21;78;1638; A;11
910006;01.01.2017; Purchase; Smart Watch Type 2, Dell;24;86;2064; A;11
910007;01.01.2017; Purchase; Tablet Type 1, Dell;20;462;9240; A;11
910008;01.01.2017; Purchase; Memory Type 1, HP;14;46;644; A;11
910009;01.01.2017; Purchase; Speakers Type 4, Huawei;16;195;3120; A;11
910010;01.01.2017; Purchase; Desktop Type 7, Dell;24;452;10848; A;11
910011;01.01.2017; Purchase; Laptop Type 6, Huawei;20;693;13860; A;11
910012;01.01.2017; Purchase; Speakers Type 2, Huawei;21;123;2583; A;11
910013;01.01.2017; Purchase; Desktop Type 5, Dell;15;650;9750; A;11
910014;01.01.2017; Purchase; Headphones Type 4, Samsung;12;77;924; A;11
910015;01.01.2017; Purchase; Speakers Type 1, Huawei;19;93;1767; A;11
910016;01.01.2017; Purchase; Mouse Type 7, Dell;12;55;660; A;11
910017;01.01.2017; Purchase; Tablet Type 7, Huawei;17;533;9061; A;11
910018;01.01.2017; Purchase; Tablet Type 1, Samsung;12;320;3840; A;11
910019;01.01.2017; Purchase; Laptop Type 3, Huawei;9;1062;9558; A;11
910020;01.01.2017; Purchase; Desktop Type 6, HP;11;480;5280; A;11
910021;01.01.2017; Purchase; Headphones Type 2, Samsung;19;90;1710; A;11
910022;01.01.2017; Purchase; Monitor Type 4, HP;19;169;3211; A;11
910023;01.01.2017; Purchase; Phone Type 7, Huawei;15;144;2160; A;11
910024;01.01.2017; Purchase; Memory Type 4, Huawei;7;32;224; A;11
910025;01.01.2017; Purchase; Speakers Type 3, Huawei;25;144;3600; A;11
910026;01.01.2017; Purchase; Smart Watch Type 3, HP;8;76;608; A;11
910027;01.01.2017; Purchase; Memory Type 4, Samsung;11;17;187; A;11
910028;01.01.2017; Purchase; Phone Type 9, HP;5;137;685; A;11
910029;01.01.2017; Purchase; Headphones Type 6, HP;10;64;640; A;11
910030;01.01.2017; Purchase; Hard Drive Type 4, HP;17;96;1632; A;11
910031;01.01.2017; Purchase; Smart Watch Type 1, HP;21;65;1365; A;11
910032;01.01.2017; Purchase; Hard Drive Type 4, Dell;23;31;713; A;11
910033;01.01.2017; Purchase; Keyboard Type 3, Dell;22;78;1716; A;11
910034;01.01.2017; Purchase; Smart Watch Type 2, Dell;8;86;688; A;11
910035;01.01.2017; Purchase; Tablet Type 1, Dell;13;462;6006; A;11
910036;01.01.2017; Purchase; Memory Type 1, HP;5;46;230; A;11
910037;01.01.2017; Purchase; Speakers Type 4, Huawei;23;195;4485; A;11
910038;01.01.2017; Purchase; Desktop Type 7, Dell;24;452;10848; A;11
910039;01.01.2017; Purchase; Laptop Type 6, Huawei;17;693;11781; A;11
910040;01.01.2017; Purchase; Speakers Type 2, Huawei;25;123;3075; A;11
910041;01.01.2017; Purchase; Desktop Type 5, Dell;16;650;10400; A;11
910042;01.01.2017; Purchase; Headphones Type 4, Samsung;21;77;1617; A;11
910043;01.01.2017; Purchase; Speakers Type 1, Huawei;24;93;2232; A;11
910044;01.01.2017; Purchase; Mouse Type 7, Dell;19;55;1045; A;11
910045;01.01.2017; Purchase; Tablet Type 7, Huawei;9;533;4797; A;11
910046;01.01.2017; Purchase; Tablet Type 1, Samsung;20;320;6400; A;11
910047;01.01.2017; Purchase; Laptop Type 3, Huawei;20;1062;21240; A;11
910048;01.01.2017; Purchase; Desktop Type 6, HP;13;480;6240; A;11
910049;01.01.2017; Purchase; Headphones Type 2, Samsung;19;90;1710; A;11
910050;01.01.2017; Purchase; Monitor Type 4, HP;24;169;4056; A;11
910051;01.01.2017; Purchase; Phone Type 7, Huawei;5;144;720; A;11
910052;01.01.2017; Purchase; Memory Type 4, Huawei;8;32;256; A;11
910053;01.01.2017; Purchase; Speakers Type 3, Huawei;8;144;1152; A;11
910054;01.01.2017; Purchase; Smart Watch Type 3, HP;8;76;608; A;11
910055;01.01.2017; Purchase; Memory Type 4, Samsung;9;17;153; A;11
910056;01.01.2017; Purchase; Phone Type 9, HP;12;137;1644; A;11
910057;01.01.2017; Purchase; Headphones Type 6, HP;10;64;640; A;11
910058;01.01.2017; Purchase; Hard Drive Type 4, HP;24;96;2304; A;11
910059;01.01.2017; Purchase; Smart Watch Type 1, HP;16;65;1040; A;11
910060;01.01.2017; Purchase; Hard Drive Type 4, Dell;13;31;403; A;11
910061;01.01.2017; Purchase; Keyboard Type 3, Dell;23;78;1794; A;11
910062;01.01.2017; Purchase; Smart Watch Type 2, Dell;10;86;860; A;11
910063;01.01.2017; Purchase; Tablet Type 1, Dell;5;462;2310; A;11
910064;01.01.2017; Purchase; Memory Type 1, HP;12;46;552; A;11
910065;01.01.2017; Purchase; Speakers Type 4, Huawei;24;195;4680; A;11
910066;01.01.2017; Purchase; Desktop Type 7, Dell;16;452;7232; A;11
910067;01.01.2017; Purchase; Laptop Type 6, Huawei;12;693;8316; A;11
910068;01.01.2017; Purchase; Speakers Type 2, Huawei;17;123;2091; A;11
910069;01.01.2017; Purchase; Desktop Type 5, Dell;15;650;9750; A;11
910070;01.01.2017; Purchase; Headphones Type 4, Samsung;21;77;1617; A;11
910071;01.01.2017; Purchase; Speakers Type 1, Huawei;17;93;1581; A;11
910072;01.01.2017; Purchase; Mouse Type 7, Dell;21;55;1155; A;11
910073;01.01.2017; Purchase; Tablet Type 7, Huawei;22;533;11726; A;11
910074;01.01.2017; Purchase; Tablet Type 1, Samsung;13;320;4160; A;11
910075;01.01.2017; Purchase; Laptop Type 3, Huawei;20;1062;21240; A;11
910076;01.01.2017; Purchase; Desktop Type 6, HP;14;480;6720; A;11
910077;01.01.2017; Purchase; Headphones Type 2, Samsung;14;90;1260; A;11
910078;01.01.2017; Purchase; Monitor Type 4, HP;17;169;2873; A;11
910079;01.01.2017; Purchase; Phone Type 7, Huawei;20;144;2880; A;11
910080;01.01.2017; Purchase; Memory Type 4, Huawei;8;32;256; A;11
910081;01.01.2017; Purchase; Speakers Type 3, Huawei;13;144;1872; A;11
910082;01.01.2017; Purchase; Smart Watch Type 3, HP;18;76;1368; A;11
910083;01.01.2017; Purchase; Memory Type 4, Samsung;7;17;119; A;11
910084;01.01.2017; Purchase; Phone Type 9, HP;12;137;1644; A;11
910085;01.01.2017; Purchase; Headphones Type 6, HP;18;64;1152; A;11
910086;01.01.2017; Purchase; Hard Drive Type 4, HP;14;96;1344; A;11
910087;01.01.2017; Purchase; Smart Watch Type 1, HP;21;65;1365; A;11
910088;01.01.2017; Purchase; Hard Drive Type 4, Dell;18;31;558; A;11
910089;01.01.2017; Purchase; Keyboard Type 3, Dell;7;78;546; A;11
910090;01.01.2017; Purchase; Smart Watch Type 2, Dell;25;86;2150; A;11
910091;01.01.2017; Purchase; Tablet Type 1, Dell;22;462;10164; A;11
910092;01.01.2017; Purchase; Memory Type 1, HP;16;46;736; A;11
910093;01.01.2017; Purchase; Speakers Type 4, Huawei;8;195;1560; A;11
910094;01.01.2017; Purchase; Desktop Type 7, Dell;17;452;7684; A;11
910095;01.01.2017; Purchase; Laptop Type 6, Huawei;6;693;4158; A;11
910096;01.01.2017; Purchase; Speakers Type 2, Huawei;8;123;984; A;11
910097;01.01.2017; Purchase; Desktop Type 5, Dell;12;650;7800; A;11
910098;01.01.2017; Purchase; Headphones Type 4, Samsung;25;77;1925; A;11
910099;01.01.2017; Purchase; Speakers Type 1, Huawei;11;93;1023; A;11
910100;01.01.2017; Purchase; Mouse Type 7, Dell;17;55;935; A;11
910101;01.01.2017; Purchase; Tablet Type 7, Huawei;21;533;11193; A;11
910102;01.01.2017; Purchase; Tablet Type 1, Samsung;18;320;5760; A;11
910103;01.01.2017; Purchase; Laptop Type 3, Huawei;23;1062;24426; A;11
910104;01.01.2017; Purchase; Desktop Type 6, HP;24;480;11520; A;11
910105;01.01.2017; Purchase; Headphones Type 2, Samsung;25;90;2250; A;11
910106;01.01.2017; Purchase; Monitor Type 4, HP;15;169;2535; A;11
910107;01.01.2017; Purchase; Phone Type 7, Huawei;11;144;1584; A;11
910108;01.01.2017; Purchase; Memory Type 4, Huawei;8;32;256; A;11
910109;01.01.2017; Purchase; Speakers Type 3, Huawei;24;144;3456; A;11
910110;01.01.2017; Purchase; Smart Watch Type 3, HP;12;76;912; A;11
910111;01.01.2017; Purchase; Memory Type 4, Samsung;8;17;136; A;11
910112;01.01.2017; Purchase; Phone Type 9, Dell;15;169;2535; B;11
910113;01.01.2017; Purchase; Tablet Type 4, Samsung;19;498;9462; B;11
910114;01.01.2017; Purchase; Speakers Type 5, Huawei;14;198;2772; B;11
910115;01.01.2017; Purchase; Phone Type 4, Dell;19;176;3344; B;11
910116;01.01.2017; Purchase; Phone Type 9, Huawei;20;164;3280; B;11
910117;01.01.2017; Purchase; Phone Type 7, HP;17;125;2125; B;11
910118;01.01.2017; Purchase; Headphones Type 2, HP;7;71;497; B;11
910119;01.01.2017; Purchase; Memory Type 3, Samsung;19;22;418; B;11
910120;01.01.2017; Purchase; Hard Drive Type 1, Samsung;25;54;1350; B;11
910121;01.01.2017; Purchase; Desktop Type 8, HP;10;686;6860; B;11
910122;01.01.2017; Purchase; Desktop Type 10, HP;10;747;7470; B;11
910123;01.01.2017; Purchase; Hard Drive Type 2, HP;13;137;1781; B;11
910124;01.01.2017; Purchase; Charger Type 2, HP;8;18;144; B;11
910125;01.01.2017; Purchase; Desktop Type 12, Huawei;17;832;14144; B;11
910126;01.01.2017; Purchase; Desktop Type 4, Huawei;20;517;10340; B;11
910127;01.01.2017; Purchase; Phone Type 2, Samsung;15;138;2070; B;11
910128;01.01.2017; Purchase; Desktop Type 9, Huawei;16;496;7936; B;11
910129;01.01.2017; Purchase; Desktop Type 11, HP;13;630;8190; B;11
910130;01.01.2017; Purchase; Mouse Type 2, Samsung;22;63;1386; B;11
910131;01.01.2017; Purchase; Microphone Type 3, Samsung;24;54;1296; B;11
910132;01.01.2017; Purchase; Hard Drive Type 8, Samsung;22;64;1408; B;11
